Label;FrenchValue;EnglishValue
acknowledgements;Remerciements;Acknowledgements
aim;En vue de l'obtention du grade de docteur de l';In order to become Doctor from
aimand; et de l'; and from
caution;Avertissement;Caution
coinstitute;;
committeemembers;Composition du jury;Committee members
committeepresident;président;President
comonitor;co-encadrant;Co-Monitor
company;;
conclusion;Conclusion;Conclusion
cosupervisor;co-directeur;Co-Supervisor
defendedon;Soutenue le;Defended on
disclaimer;L'\theinstitute{} n'entend donner aucune approbation ni improbation aux opinions émises dans les thèses : ces opinions devront être considérées comme propres à leurs auteurs.;The \theinstitute{} neither endorse nor censure authors' opinions expressed in the theses: these opinions must be considered to be those of their authors.
doctoralschool;École doctorale;Doctoral School
draft;brouillon;draft
examiners;Examinateurs;Examiners
foreword;Avant-propos;Foreword
frenchabstract;Résumé en français;French Abstract
guests;Invités;Guests
institute;;
intermediateversion;travail en cours;work in progress
introduction;Introduction;Introduction
juniorresearcherhdr;chargé de recherche \textsc{hdr};\textsc{hdr} Junior Researcher
keywords;Mots clés;Keywords
listofsymbols;Liste des symboles;List of Symbols
mcfhdr;\textsc{mcf} \textsc{hdr};\textsc{hdr} Lecturer
ordernumber;Numéro d'ordre;Order Number
phdthesis;thèse;Ph. D. Thesis
preface;Préface;Preface
prepared;Cette thèse a été préparée au;This thesis has been prepared at
professor;professeur;Professor
referees;Rapporteurs;Referees
seniorresearcher;directeur de recherche;Senior Researcher
speciality;Discipline/Spécialité;Subject/Speciality
supervisor;directeur;Supervisor
supervisors;Directeur de thèse;Supervisor
supervisorspl;Directeurs de thèse;Supervisors
thesisdefendedby;Thèse présentée par;Thesis defended by
thesistitle;Titre de la thèse;Thesis Title
universitydepartment;Unité de recherche;University Department
versiondate;Version intermédiaire en date du;Intermediate version as of
website;Site;Web Site
